State,Date,Population
Himachal Pradesh,2024-01-01,679290.8539775666
Himachal Pradesh,2024-02-01,679630.4994045554
Himachal Pradesh,2024-03-01,679970.1448315441
Himachal Pradesh,2024-04-01,680309.790258533
Himachal Pradesh,2024-05-01,680649.4356855218
Himachal Pradesh,2024-06-01,680989.0811125105
Himachal Pradesh,2024-07-01,681328.7265394992
Himachal Pradesh,2024-08-01,681668.3719664882
Himachal Pradesh,2024-09-01,682008.0173934769
Himachal Pradesh,2024-10-01,682347.6628204656
Himachal Pradesh,2024-11-01,682687.3082474543
Himachal Pradesh,2024-12-01,683026.9536744433
Jammu & Kashmir,2021-01-01,1211531.2510681944
Jammu & Kashmir,2021-02-01,1212137.0166937285
Jammu & Kashmir,2021-03-01,1212742.7823192626
Jammu & Kashmir,2021-04-01,1213348.5479447967
Jammu & Kashmir,2021-05-01,1213954.313570331
Jammu & Kashmir,2021-06-01,1214560.079195865
Jammu & Kashmir,2021-07-01,1215165.844821399
Jammu & Kashmir,2021-08-01,1215771.6104469332
Jammu & Kashmir,2021-09-01,1216377.3760724673
Jammu & Kashmir,2021-10-01,1216983.1416980012
Jammu & Kashmir,2021-11-01,1217588.9073235353
Jammu & Kashmir,2021-12-01,1218194.6729490696
Jammu & Kashmir,2022-01-01,1219801.9966907836
Jammu & Kashmir,2022-02-01,1220411.8976891292
Jammu & Kashmir,2022-03-01,1221021.7986874743
Jammu & Kashmir,2022-04-01,1221631.69968582
Jammu & Kashmir,2022-05-01,1222241.6006841653
Jammu & Kashmir,2022-06-01,1222851.5016825106
Jammu & Kashmir,2022-07-01,1223461.4026808562
Jammu & Kashmir,2022-08-01,1224071.3036792015
Jammu & Kashmir,2022-09-01,1224681.2046775469
Jammu & Kashmir,2022-10-01,1225291.1056758922
Jammu & Kashmir,2022-11-01,1225901.0066742375
Jammu & Kashmir,2022-12-01,1226510.9076725831
Jammu & Kashmir,2023-01-01,1229661.6481744722
Jammu & Kashmir,2023-02-01,1230276.4789985593
Jammu & Kashmir,2023-03-01,1230891.3098226464
Jammu & Kashmir,2023-04-01,1231506.1406467338
Jammu & Kashmir,2023-05-01,1232120.9714708212
Jammu & Kashmir,2023-06-01,1232735.8022949083
Jammu & Kashmir,2023-07-01,1233350.6331189952
Jammu & Kashmir,2023-08-01,1233965.4639430828
